Référence;"Code article";"Couleur (FR)";"Couleur (US)";Taille;"Famille (FR)";"Famille (US)";Marque;"Genre (FR)";"Genre (US)";EAN;QTÉ;"Descriptif (FR)";"Descriptif (US)";"Composition (FR)";Pays;"Code Douane";RRP;PVM;"Prix HT";"Prix HT (5+)";"Prix HT (10+)";"Prix HT DST"
"ABEILLE DB DGREEN LADY 001";WY4460F/GN;"VERT FONCE";"DARK GREEN";S/1;Parka;Parka;"Geographical Norway";Femme;Lady;3543116554236;2;"DOUDOUNE LONGUE AVEC CAPUCHE AMOVIBLE ET FOURRURE SYNTHETIQUE. POCHES ZIPPEES SUR DEVANT. BRODERIE SUR POITRINE ET CAPUCHE. BADGE METALLIQUE SUR MANCHE.";"LONG DOWN JACKET WITH REMOVABLE HOOD AND FAKE FUR. 2 ZIPPED POCKETS AT FRONT. CHEST AND HOOD EMBROIDERED. METALLIC BADGE ON SLEEVE";"100% Polyamide";CHINE;62024090;179;99.9;39,00;36,00;33,00;NC
"ABEILLE DB DGREEN LADY 001";WY4460F/GN;"VERT FONCE";"DARK GREEN";M/2;Parka;Parka;"Geographical Norway";Femme;Lady;3543116554243;3;"DOUDOUNE LONGUE AVEC CAPUCHE AMOVIBLE ET FOURRURE SYNTHETIQUE. POCHES ZIPPEES SUR DEVANT. BRODERIE SUR POITRINE ET CAPUCHE. BADGE METALLIQUE SUR MANCHE.";"LONG DOWN JACKET WITH REMOVABLE HOOD AND FAKE FUR. 2 ZIPPED POCKETS AT FRONT. CHEST AND HOOD EMBROIDERED. METALLIC BADGE ON SLEEVE";"100% Polyamide";CHINE;62024090;179;99.9;39,00;36,00;33,00;NC
"ABEILLE DB DGREEN LADY 001";WY4460F/GN;"VERT FONCE";"DARK GREEN";L/3;Parka;Parka;"Geographical Norway";Femme;Lady;3543116554250;3;"DOUDOUNE LONGUE AVEC CAPUCHE AMOVIBLE ET FOURRURE SYNTHETIQUE. POCHES ZIPPEES SUR DEVANT. BRODERIE SUR POITRINE ET CAPUCHE. BADGE METALLIQUE SUR MANCHE.";"LONG DOWN JACKET WITH REMOVABLE HOOD AND FAKE FUR. 2 ZIPPED POCKETS AT FRONT. CHEST AND HOOD EMBROIDERED. METALLIC BADGE ON SLEEVE";"100% Polyamide";CHINE;62024090;179;99.9;39,00;36,00;33,00;NC
"ABEILLE DB DGREEN LADY 001";WY4460F/GN;"VERT FONCE";"DARK GREEN";XL/4;Parka;Parka;"Geographical Norway";Femme;Lady;3543116554267;2;"DOUDOUNE LONGUE AVEC CAPUCHE AMOVIBLE ET FOURRURE SYNTHETIQUE. POCHES ZIPPEES SUR DEVANT. BRODERIE SUR POITRINE ET CAPUCHE. BADGE METALLIQUE SUR MANCHE.";"LONG DOWN JACKET WITH REMOVABLE HOOD AND FAKE FUR. 2 ZIPPED POCKETS AT FRONT. CHEST AND HOOD EMBROIDERED. METALLIC BADGE ON SLEEVE";"100% Polyamide";CHINE;62024090;179;99.9;39,00;36,00;33,00;NC
"ABEILLE DB DGREEN LADY 001";WY4460F/GN;"VERT FONCE";"DARK GREEN";2XL/5;Parka;Parka;"Geographical Norway";Femme;Lady;3543116554274;2;"DOUDOUNE LONGUE AVEC CAPUCHE AMOVIBLE ET FOURRURE SYNTHETIQUE. POCHES ZIPPEES SUR DEVANT. BRODERIE SUR POITRINE ET CAPUCHE. BADGE METALLIQUE SUR MANCHE.";"LONG DOWN JACKET WITH REMOVABLE HOOD AND FAKE FUR. 2 ZIPPED POCKETS AT FRONT. CHEST AND HOOD EMBROIDERED. METALLIC BADGE ON SLEEVE";"100% Polyamide";CHINE;62024090;179;99.9;39,00;36,00;33,00;NC
"ABEILLE KAKI DB LADY 001";WY4462F/GN;Kaki;Kaki;S/1;Parka;Parka;"Geographical Norway";Femme;Lady;3543116554335;2;"DOUDOUNE LONGUE AVEC CAPUCHE AMOVIBLE ET FOURRURE SYNTHETIQUE. POCHES ZIPPEES SUR DEVANT. BRODERIE SUR POITRINE ET CAPUCHE. BADGE METALLIQUE SUR MANCHE.";"LONG DOWN JACKET WITH REMOVABLE HOOD AND FAKE FUR. 2 ZIPPED POCKETS AT FRONT. CHEST AND HOOD EMBROIDERED. METALLIC BADGE ON SLEEVE";"100% Polyamide";CHINE;62024090;179;99.9;39,00;36,00;33,00;NC
"ABEILLE KAKI DB LADY 001";WY4462F/GN;Kaki;Kaki;M/2;Parka;Parka;"Geographical Norway";Femme;Lady;3543116554342;3;"DOUDOUNE LONGUE AVEC CAPUCHE AMOVIBLE ET FOURRURE SYNTHETIQUE. POCHES ZIPPEES SUR DEVANT. BRODERIE SUR POITRINE ET CAPUCHE. BADGE METALLIQUE SUR MANCHE.";"LONG DOWN JACKET WITH REMOVABLE HOOD AND FAKE FUR. 2 ZIPPED POCKETS AT FRONT. CHEST AND HOOD EMBROIDERED. METALLIC BADGE ON SLEEVE";"100% Polyamide";CHINE;62024090;179;99.9;39,00;36,00;33,00;NC
"ABEILLE KAKI DB LADY 001";WY4462F/GN;Kaki;Kaki;L/3;Parka;Parka;"Geographical Norway";Femme;Lady;3543116554359;3;"DOUDOUNE LONGUE AVEC CAPUCHE AMOVIBLE ET FOURRURE SYNTHETIQUE. POCHES ZIPPEES SUR DEVANT. BRODERIE SUR POITRINE ET CAPUCHE. BADGE METALLIQUE SUR MANCHE.";"LONG DOWN JACKET WITH REMOVABLE HOOD AND FAKE FUR. 2 ZIPPED POCKETS AT FRONT. CHEST AND HOOD EMBROIDERED. METALLIC BADGE ON SLEEVE";"100% Polyamide";CHINE;62024090;179;99.9;39,00;36,00;33,00;NC
"ABEILLE KAKI DB LADY 001";WY4462F/GN;Kaki;Kaki;XL/4;Parka;Parka;"Geographical Norway";Femme;Lady;3543116554366;2;"DOUDOUNE LONGUE AVEC CAPUCHE AMOVIBLE ET FOURRURE SYNTHETIQUE. POCHES ZIPPEES SUR DEVANT. BRODERIE SUR POITRINE ET CAPUCHE. BADGE METALLIQUE SUR MANCHE.";"LONG DOWN JACKET WITH REMOVABLE HOOD AND FAKE FUR. 2 ZIPPED POCKETS AT FRONT. CHEST AND HOOD EMBROIDERED. METALLIC BADGE ON SLEEVE";"100% Polyamide";CHINE;62024090;179;99.9;39,00;36,00;33,00;NC
"ABEILLE KAKI DB LADY 001";WY4462F/GN;Kaki;Kaki;2XL/5;Parka;Parka;"Geographical Norway";Femme;Lady;3543116554373;2;"DOUDOUNE LONGUE AVEC CAPUCHE AMOVIBLE ET FOURRURE SYNTHETIQUE. POCHES ZIPPEES SUR DEVANT. BRODERIE SUR POITRINE ET CAPUCHE. BADGE METALLIQUE SUR MANCHE.";"LONG DOWN JACKET WITH REMOVABLE HOOD AND FAKE FUR. 2 ZIPPED POCKETS AT FRONT. CHEST AND HOOD EMBROIDERED. METALLIC BADGE ON SLEEVE";"100% Polyamide";CHINE;62024090;179;99.9;39,00;36,00;33,00;NC
